target,budget,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
79,12000000,6.526666666666668,6.823529411764707,5.583146067415729,7.081250000000002,5.625,6.390476190476191,7.900000000000001,6.272,5.1937500000000005,7.900000000000001,4.509,9.843,10.274,1.59,2.688,1.616,1.538,2.178,18.564,0.62,7.177142857142858,7.300000000000002,7.177142857142858,7.177142857142858,7.177142857142858,7.177142857142858,7.177142857142858,2.193,1.38,2.193,2.193,2.193,2.193,2.193
69,120000000,5.84,6.415000000000001,6.67826086956522,6.500000000000001,4.311904761904762,6.066666666666667,6.474074074074075,7.294117647058825,6.180000000000001,5.852173913043478,2.629,7.932,2.592,4.529,0.748,4.337,2.136,2.122,2.481,1.4,6.570000000000001,6.940740740740741,6.671428571428573,7.1400000000000015,7.1400000000000015,6.671428571428573,6.570000000000001,4.288,2.248,4.94,0.6,0.654,4.94,4.288
68,0,6.577777777777777,4.188235294117646,5.708910891089107,6.799999999999998,6.799999999999998,6.399999999999998,6.799999999999998,6.833333333333333,6.799999999999998,6.799999999999998,3.667,1.659,4.537,1.003,1.4,1.01,1.353,1.579,0.6,0.6,6.526315789473683,6.226923076923077,6.526315789473683,6.526315789473683,6.526315789473683,6.526315789473683,6.526315789473683,1.694,0.6,1.694,1.694,1.694,1.694,1.694
82,2200000,7.583333333333333,6.402564102564104,4.711111111111111,5.565384615384615,5.050000000000001,7.7200000000000015,8.200000000000001,6.233333333333335,6.736842105263159,5.276666666666666,4.521,2.178,1.065,1.4,2.579,0.98,0.6,0.652,0.6,1.267,7.572,4.920000000000001,7.572,7.572,7.572,7.572,7.572,4.785,0.6,4.785,4.785,4.785,4.785,4.785
60,87500000,6.260215053763441,5.899000000000002,5.5516129032258075,5.328,6.091304347826087,5.532960893854748,5.78235294117647,6.328571428571429,6.099999999999999,5.588372093023255,16.526,9.082,2.67,3.069,8.935,5.724,4.24,2.35,2.347,2.996,5.909090909090909,5.580769230769231,5.909090909090909,6.04,5.909090909090909,5.909090909090909,5.909090909090909,1.975,0.648,1.975,0.973,1.975,1.975,1.975
40,0,4.0,4.0,2.636842105263158,2.4,4.0,4.0,4.0,4.0,4.0,4.0,1.294,4.653,3.958,1.437,1.294,1.294,1.294,1.294,1.294,1.294,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
66,14000000,6.0375,6.694117647058823,6.599999999999999,6.545454545454544,6.425,5.6625,6.0874999999999995,5.7,6.3999999999999995,6.052941176470588,3.935,3.09,0.98,2.228,2.363,0.968,1.4,5.37,1.4,0.618,4.85625,4.5375,6.770588235294117,4.85625,6.479999999999999,6.599999999999999,4.85625,0.6,0.98,1.62,0.6,0.6,0.6,0.6
72,3500000,4.128358208955223,6.3611111111111125,7.200000000000002,6.776470588235295,4.504000000000002,4.108823529411765,7.200000000000002,5.366101694915256,7.200000000000002,6.413043478260869,4.24,1.588,2.872,3.718,2.33,1.681,0.707,0.696,3.748,5.04,6.800000000000002,6.800000000000002,6.800000000000002,6.238181818181822,6.800000000000002,6.800000000000002,6.800000000000002,2.188,3.748,2.703,2.268,2.188,2.188,2.188
79,10000000,6.923529411764707,6.688235294117648,5.251111111111113,5.580851063829788,6.3,6.104545454545455,7.782352941176473,7.900000000000001,4.68125,7.900000000000001,0.62,1.4,2.072,1.8,0.6,0.98,1.761,0.6,1.652,0.98,3.461111111111111,7.900000000000001,3.461111111111111,4.242857142857143,3.461111111111111,3.461111111111111,3.461111111111111,1.192,0.6,1.192,0.6,1.192,1.192,1.192
76,28000000,7.599999999999999,6.218750000000003,6.56,7.062499999999998,5.8725490196078445,6.304347826086955,6.6949999999999985,7.639999999999999,7.599999999999999,6.205263157894736,3.086,6.72,3.283,1.631,6.743,1.456,1.516,0.718,0.684,0.765,7.016666666666665,7.011764705882351,7.570588235294117,6.879999999999998,6.879999999999998,7.016666666666665,7.011764705882351,2.103,4.24,0.704,3.619,2.418,2.103,4.24
71,3000000,4.33125,6.078947368421052,5.341176470588235,4.105102040816326,4.1975,5.324,6.433333333333333,5.917142857142858,4.598305084745763,7.179999999999998,1.266,1.749,1.259,2.799,1.708,2.173,2.234,2.334,2.144,0.6,6.295238095238095,6.046391752577319,5.904587155963303,6.088,6.6096774193548375,6.578260869565216,7.070588235294117,2.867,3.247,1.274,0.6,2.588,1.335,1.165
63,50000000,6.60967741935484,5.529166666666666,4.032142857142857,5.190624999999999,5.626923076923077,5.757142857142856,5.795833333333333,5.328260869565218,4.88,6.299999999999998,6.222,2.198,7.052,3.783,2.116,1.4,1.575,4.627,0.768,1.62,3.7799999999999994,4.475,6.278947368421052,5.7749999999999995,6.215384615384614,6.178947368421052,3.7799999999999994,8.926,0.919,1.22,1.052,1.407,1.616,8.926
59,97000000,5.8786885245901646,4.73,6.261111111111112,5.224489795918366,5.514516129032258,6.077777777777779,5.695238095238096,5.519047619047619,4.301851851851852,6.1,10.925,5.458,4.995,4.553,1.566,3.738,0.98,1.936,2.052,1.214,6.239506172839509,6.345454545454546,5.3909090909090915,6.488888888888891,5.94,6.239506172839509,6.239506172839509,8.16,4.099,1.4,2.309,1.708,8.16,8.16
70,170000000,6.403571428571428,3.956989247311828,6.48360655737705,6.092105263157896,6.340000000000001,6.131818181818182,6.4,7.194444444444445,7.084999999999999,6.221052631578948,5.75,6.649,12.471,3.016,4.398,3.284,3.002,4.4,1.146,11.634,4.947272727272727,6.442500000000001,6.457692307692307,6.534782608695653,4.947272727272727,4.947272727272727,4.947272727272727,3.05,1.502,3.793,2.451,3.05,3.05,3.05
60,110000000,6.114285714285714,5.628571428571429,5.851428571428571,5.170967741935484,5.916216216216217,6.16,5.2908045977011495,5.817333333333334,6.111764705882353,5.888235294117648,7.502,6.145,4.005,4.568,6.277,6.205,3.344,5.132,1.383,4.892,6.233333333333333,6.355999999999999,6.294117647058823,5.842105263157895,5.842105263157895,6.4399999999999995,6.233333333333333,2.713,1.38,2.362,2.192,1.889,1.96,2.713
67,85000000,6.254545454545456,5.701265822784813,5.72753623188406,6.144186046511629,5.797435897435896,6.434285714285715,5.9857142857142875,6.292156862745099,5.788461538461539,6.195238095238096,19.358,8.107,4.128,3.612,7.815,5.728,1.677,2.64,0.755,2.429,6.307407407407409,6.450467289719629,6.307407407407409,6.307407407407409,6.307407407407409,6.307407407407409,6.307407407407409,2.946,1.837,2.946,2.946,2.946,2.946,2.946
76,0,6.353225806451612,6.836842105263156,7.003225806451611,6.269565217391302,6.818181818181817,6.49090909090909,7.599999999999999,7.199999999999998,6.232692307692307,5.859302325581394,10.608,8.114,4.323,0.6,2.094,2.387,0.6,2.062,4.008,5.57,7.171428571428568,7.129411764705881,7.599999999999999,7.171428571428568,7.171428571428568,7.171428571428568,7.171428571428568,0.6,1.076,1.22,0.6,0.6,0.6,0.6
64,50000000,6.439285714285715,5.522155688622751,6.068749999999999,6.1692307692307695,5.461111111111112,6.729411764705883,5.213749999999999,5.804761904761905,5.390909090909091,6.4,5.522,5.721,10.947,2.027,2.479,1.4,3.284,1.59,3.014,0.6,6.330232558139539,6.062500000000001,6.330232558139539,6.330232558139539,6.330232558139539,6.330232558139539,6.330232558139539,8.16,1.529,8.16,8.16,8.16,8.16,8.16
78,8500000,6.952941176470587,4.814705882352942,4.884,6.203076923076923,4.003333333333333,5.350980392156863,6.644999999999999,6.584999999999999,6.544444444444444,4.679999999999999,5.008,5.361,3.722,2.462,1.486,1.824,1.716,1.473,3.552,1.438,7.084,6.6033333333333335,7.013636363636362,7.799999999999998,4.387499999999999,7.084,7.084,0.972,0.648,1.739,1.614,0.828,0.972,0.972
64,0,5.417777777777778,6.112903225806452,5.680952380952381,3.8399999999999994,6.181818181818182,5.0,4.462903225806452,3.8399999999999994,6.4,4.0125,2.607,2.451,1.153,0.6,0.6,1.4,1.87,0.982,0.6,1.092,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6
56,75000000,6.218518518518518,5.805970149253732,5.76470588235294,5.247826086956521,5.387500000000001,6.18,6.134615384615385,5.438095238095239,5.667500000000001,5.0040000000000004,5.338,3.307,3.725,2.286,3.043,3.778,1.462,5.694,4.403,5.758,6.135,5.915942028985507,6.135,6.135,6.135,6.135,6.135,3.194,1.456,3.194,3.194,3.194,3.194,3.194
55,75000000,4.882608695652174,5.75,6.517307692307692,5.58,5.585714285714286,6.027272727272727,5.4789473684210535,5.641666666666668,4.9739130434782615,5.125000000000001,5.996,3.307,5.338,3.043,3.778,1.462,5.694,4.403,5.758,3.123,5.544,6.457142857142857,5.544,5.544,5.544,5.544,5.544,2.701,1.22,2.701,2.701,2.701,2.701,2.701
